"Name"	"Key"	"Riot"	"Wikia"
"Banner_of_Command"	"total"	"3000"	"2900"
"Banner_of_Command"	"sell"	"2100"	"2030"
"Frost_Queen's_Claim"	"base"	"450"	"550"
"Hextech_GLP-800"	"base"	"850"	"750"
"Hextech_GLP-800"	"from"	"CatalystofAeons,HextechRevolver"	"CatalysttheProtector,HextechRevolver"
"Hextech_Gunblade"	"base"	"700"	"550"
"Lord_Dominik's_Regards"	"sell"	"1890"	"1750"
"Mortal_Reminder"	"sell"	"1890"	"1750"
"Nashor's_Tooth"	"base"	"900"	"1000"
"Oracle's_Extract"	"sell"	"100"	"125"
"Perfect_Hex_Core"	"sell"	"2100"	"0"
"Phantom_Dancer"	"sell"	"1785"	"1890"
"Randuin's_Omen"	"sell"	"2030"	"2100"
"Rapid_Firecannon"	"sell"	"1820"	"1750"
"Righteous_Glory"	"from"	"CatalystofAeons,CrystallineBracer"	"CrystallineBracer,CatalysttheProtector"
"Runaan's_Hurricane"	"sell"	"1820"	"1750"
"Seraph's_Embrace"	"total"	"3100"	"0"
"Seraph's_Embrace"	"base"	"3100"	"0"
"Seraph's_Embrace"	"sell"	"4340"	"2100"
"Statikk_Shiv"	"sell"	"1820"	"1750"
"The_Hex_Core_mk-1"	"sell"	"700"	"0"
"The_Hex_Core_mk-2"	"sell"	"1400"	"0"
"Wicked_Hatchet"	"base"	"450"	"440"
"Zeal"	"sell"	"910"	"840"
